Proteins,Compartments,Cyto,Nsol,NucI,Horg,Lorg,Colour
SLC4A2,S4,-0.9421113082784136,-1.0322027775203297,0.3602993310575091,0.7942842757462136,0.37980896449255425,tomato2
SLC4A7,S4,-1.0800075480180236,-1.3859097431282716,0.5807518610057678,0.9591631100596925,0.05195157392126089,tomato2
SLC6A9,S4,-0.6751433849820594,-1.097420521878163,0.4188582174528577,0.8948176141522783,0.34738639531108123,tomato2
SLC7A1,S3,-1.077673508512127,-1.0708124900365361,0.1143709691757256,0.7865176830825129,0.5820526383996099,salmon
SLC7A5,S4,-1.3262532630630608,-1.6562776890038218,0.594661719435877,1.031891879088998,0.086858106548487607,tomato2
SLC9A1,S4,-0.5015800240695738,-0.8944518496569924,0.3295317490358305,0.7529717315093005,0.18444796169307265,tomato2
SLC9A6,S1,-1.0998557589162163,-1.3546869989244783,-0.06058333360042337,0.5970067885085725,1.0412157113686091,gold
SLC9A7,S1,-0.9618272800471022,-1.1526986005427893,-0.028636223636726327,0.5358095415755366,1.0842420703560227,gold
SLC9A8,S1,-1.3986826965678376,-1.4295759002572082,-0.30451045174379326,0.738872851776649,1.1469143729155415,gold
SLK,C3,2.0148847018165617,-0.11494763998384619,-0.8402365156811504,-0.665640861741951,-0.8948727364888883,cyan
SLMAP,S2,-1.1293929312065702,-1.1997151825630763,0.1749761696997693,0.8885501512879288,0.5533067656646946,orange
SLTM,N3,-1.2668292245093704,-1.2942386823677332,1.1272527155170724,0.14527905506242295,0.20398046960458988,grey50
SMAD2,C3,1.822171745661019,0.4537745460428609,-0.5095066038231179,-0.5255310416436761,-1.1313389841667225,cyan
SMAD4,C5,1.542514936282902,0.4204507856673029,-0.39556511125531824,-0.5631521019145851,-0.8585377219050496,turquoise3
SMAD5,C2,0.9495300866219145,0.4284481376898873,-0.1373149564927431,0.0860697723724775,-0.5239812854883992,aquamarine
SMAP1,C4,2.144359345581069,-0.11586639039118993,-1.1387112233309242,-1.0824918071136462,-1.336878398466737,deepskyblue2
SMARCA1,N2,-1.0480430640383371,-0.8077543480036845,1.0749618201664495,0.2073558023733294,0.10624129860604611,grey70
SMARCA5,N3,-1.2453640811138131,-0.955647987226478,1.1238110659436225,0.15992187146932263,0.022619296240862632,grey50
SMARCAD1,N4,-0.8177209187082151,0.7037920680626037,8.10588081616952e-4,0.32234329637629766,0.001508491670592138,grey30
SMC1A,N2,-0.9618394489125763,0.3625575369897039,0.8660036649465432,-0.11562412286965537,-0.44653176851904525,grey70
SMC5,N2,-0.7815488720130179,0.2716404295309246,0.7785205200630074,0.05866686871007762,-0.18297861126119952,grey70
SMC6,N2,-0.9461647015051329,0.35653764811973276,0.9088584021989214,-0.042836409303468534,-0.3534890757873133,grey70
SMCHD1,N4,-0.9509432693018791,0.7783560901646882,0.5938741602195445,-0.2811434305770837,-0.6609617979573769,grey30
SMEK2,N4,-0.8500323998641586,1.279356080132672,-0.23682203056438084,-0.33119367339760614,-0.5437372038671481,grey30
SMG8,C1,1.2009611012050108,0.3595295620259684,-0.5100084735053312,-0.31120666194954205,0.04449013579066716,lightblue
SMIM12,M2,-1.722381975216054,-1.8087716231834299,0.42839808287114733,1.3406578597377017,-0.08384840845633401,tan4
SMIM14,S3,-0.5926370251474232,-1.4228630967204685,0.324244516376469,0.7715276631748917,0.5847617869881175,salmon
SMIM19,S2,-0.9292702312773302,-1.5743277101073034,0.2462981846675532,0.826576444198973,0.7240839092508307,orange
SMIM4,M2,-1.3216289086694717,-1.3299886799178566,0.4043357108148535,1.1762825196450815,0.04040370908225012,tan4
SMPD1,S3,-1.0619414731922512,-0.20408086811459183,0.15533391659891432,0.6358624183746027,0.5262297531730019,salmon
SMPD2,S2,-0.9860368674366085,-1.37438886799253,0.17618661468985714,0.9389290096717986,0.5302659418918191,orange
SMPD4,N2,-0.9256087301224707,-1.215054345043562,1.142935877762125,0.2962845533441096,-0.1146581883080346,grey70
SMS,C4,2.1370899586634113,0.4611509496668548,-1.111954403041858,-1.1207251237134717,-1.2854193497200206,deepskyblue2
SMURF2,C1,1.2421429947783307,0.12394756516461938,-0.43374727117981837,-0.26553337123271314,0.32496140874437773,lightblue
SMYD2,C4,1.974335057087609,0.2859348556291069,-0.939895625930552,-0.9649974813752259,-1.1556733111458923,deepskyblue2
SMYD5,C4,1.9711281839694577,0.366284106412373,-0.6005327036838475,-0.8910559802333831,-0.9697032965378645,deepskyblue2
SNAP23,S4,-0.7176489437268884,-1.3280175833013246,0.25040308835466074,0.9682175006167715,0.4867285389165841,tomato2
SNAP47,S3,-0.23368216553430168,-0.7894347843166183,0.1214435503492057,0.6001126959908891,0.5444368241451895,salmon
SNAPC2,N4,-0.6278851320244723,0.9479832789213398,0.17421389445284743,0.056881261278247996,-0.5001447402535458,grey30
SNRNP35,N1,-0.9712043558491634,-0.72552774895898,0.6429832650601626,-0.3857935046747306,0.8034154849582655,grey90
SNTB2,M1,-0.6315170099585081,-0.9503029907997638,0.6067016990939599,0.7313286842068341,-0.12158416603508881,burlywood4
SNX1,C1,1.5952086961916252,0.057335129326126374,-0.5759383152821878,-0.43094046465949937,-0.23941468224279516,lightblue
SNX13,S1,-1.144243734127922,-1.2928540095718715,0.13412040405445932,0.684551310370993,1.0225396241949007,gold
SNX14,S1,-1.0660799028824075,-1.307370948351835,0.13966895062084328,0.631939102622262,0.7949983002550729,gold
SNX15,C2,1.152108949949143,0.5196480783690929,-0.31295113644950645,-0.1419891862708771,-0.43570813270517506,aquamarine
SNX19,S1,-0.6902066081508496,-0.989263159745903,0.08310697084251038,0.5323717462059184,0.8213665348084309,gold
SNX2,C1,1.4270396664071026,-0.02205181656399213,-0.5011390886368958,-0.19707513966712525,-0.14969094490284662,lightblue
SNX25,S1,-1.156088908803732,-1.1421662452189763,0.1941209101894263,0.5846062923460993,0.9904976931892919,gold
SNX5,C1,1.6843375754993766,-0.10489409941957457,-0.5652321431308606,-0.36706721128735537,-0.34528739727698965,lightblue
SNX6,C1,1.5858612374274852,-0.029891524355893713,-0.5824834291713126,-0.390068450289868,-0.06208808313982473,lightblue
SNX9,C2,1.264417011346215,0.6460092849472253,-0.4916743399392324,-0.3097082489799923,-0.4604558975909394,aquamarine
SOAT1,S2,-1.3997221652494396,-1.577050511861447,0.15904023137581952,0.8150727788811428,0.5077710308077201,orange
SOD1,C4,2.1822271964448814,-0.19790944637585525,-1.0621190117677055,-0.886661230397598,-1.2113297683910673,deepskyblue2
SORBS3,C5,1.6848800868304645,0.5062424010780979,-0.4026338152022624,-0.5003287320699812,-0.6990721390831562,turquoise3
SORD,C5,1.9703014611113274,0.3326268797051817,-0.8621243143611974,-0.9250813415757948,-1.0042577978246963,turquoise3
SORT1,S1,-1.2803832439282572,-1.3189496807662735,-0.20654366720437178,0.4844030318618301,1.3545341259736197,gold
SOS1,C3,1.5319479417980917,-0.1773769015800441,-0.4934276118468975,-0.13631842393188423,-0.5615658220190569,cyan
SOWAHC,C3,1.8134050865864784,0.1300498627763638,-0.5052294454432524,-0.38606330046582993,-0.5175608778499103,cyan
SP1,N4,-1.3458748205120301,1.2706544705213183,-0.16724292909069477,-0.35270165468809467,-0.694390155303815,grey30
SPA17,C5,1.6880396920071012,0.5874942500413936,-0.8165216985521702,-0.9475528660169947,-1.4175371867140316,turquoise3
